id,value
id_0,25.5091033823
id_1,63.4571036811
id_2,19.0871513225
id_3,29.3052062965
id_4,8.78547721171
id_5,32.920480212
id_6,40.6658759109
id_7,17.6521488234
id_8,51.43753964
id_9,32.7651984265
id_10,38.9499745427
id_11,58.3056708416
id_12,34.4344999081
id_13,41.1669490048
id_14,27.0334951896
id_15,12.2182713826
id_16,50.8891582056
id_17,22.5256053807
id_18,17.4414341645
id_19,18.602576182
id_20,15.1358904125
id_21,30.4860369184
id_22,38.0398587687
id_23,9.7617427398
id_24,61.5959199162
id_25,46.4721860634
id_26,27.5177763065
id_27,7.32091833869
id_28,28.7344526923
id_29,36.7482457934
id_30,18.2991461965
id_31,11.2312517905
id_32,16.4684830299
id_33,6.39707076975
id_34,16.3590103447
id_35,41.7172339766
id_36,20.6059577454
id_37,27.7999221725
id_38,10.1596053383
id_39,58.3934046432
id_40,46.895932902
id_41,18.6620946951
id_42,53.0786035924
id_43,18.074504406
id_44,44.5219990242
id_45,50.246573135
id_46,57.1724233775
id_47,41.7653071683
id_48,55.2028363347
id_49,38.983430464
id_50,29.0491024515
id_51,24.5411892082
id_52,39.2966750622
id_53,23.843428703
id_54,37.8919269614
id_55,39.8757435982
id_56,24.0655516278
id_57,21.7703796101
id_58,37.0265685955
id_59,32.0796653131
id_60,14.2225999535
id_61,22.5473637828
id_62,32.6146844449
id_63,53.895074583
id_64,50.9032203027
id_65,25.6793187682
id_66,38.0530614001
id_67,51.8333484171
id_68,28.5946844794
id_69,37.0591978728
id_70,65.5192764308
id_71,55.384850082
id_72,42.1895906508
id_73,12.8130048001
id_74,12.6914803996
id_75,35.0900515068
id_76,61.3147406617
id_77,2.31569864356
id_78,42.785205004
id_79,42.455598192
id_80,8.75833754346
id_81,23.5129212719
id_82,6.00919574102
id_83,32.0835438421
id_84,8.20007392228
id_85,5.5338350294
id_86,17.3772008174
id_87,11.8426779111
id_88,18.640214384
id_89,25.9241200935
id_90,35.3720247191
id_91,12.9244497861
id_92,12.8576649372
id_93,9.05809238233
id_94,38.6578230491
id_95,14.8902088299
id_96,16.9796851183
id_97,9.86500175578
id_98,11.6233792163
id_99,5.21772357442
id_100,10.3015228145
id_101,18.9646988115
id_102,11.9592615954
id_103,8.66226883877
id_104,13.1095194086
id_105,37.5565520085
id_106,25.5798369287
id_107,7.58353576211
id_108,17.0188996845
id_109,15.7272524888
id_110,12.1830961443
id_111,17.1233444174
id_112,16.5007080966
id_113,27.2918394381
id_114,20.5013852089
id_115,17.2658080056
id_116,6.79285112331
id_117,44.8375829029
id_118,26.5244928407
id_119,1.01154018605
id_120,1.51747440737
id_121,10.746384275
id_122,13.5036337821
id_123,13.5802036681
id_124,8.12928859149
id_125,25.2222987254
id_126,21.6289010811
id_127,11.1848806631
id_128,20.9330954901
id_129,17.1346417387
id_130,3.55985206315
id_131,33.0068503356
id_132,15.251258712
id_133,22.3559354423
id_134,26.8380938188
id_135,23.7555567
id_136,10.1762460067
id_137,21.0965157183
id_138,78.8287696252
id_139,61.3925517894
id_140,26.5883748442
id_141,19.171979478
id_142,24.4784037339
id_143,7.62487618287
id_144,12.4071074091
id_145,10.2206847885
id_146,18.0840252661
id_147,7.70652737916
id_148,12.3763796898
id_149,14.7817550062
id_150,47.5211027
id_151,22.0002318176
id_152,22.6907008051
id_153,13.4793650722
id_154,14.4393535373
id_155,24.1443961427
id_156,25.9210753123
id_157,37.4857798999
id_158,4.37494425071
id_159,23.233556145
id_160,43.5998548653
id_161,19.2148209299
id_162,64.4394412023
id_163,17.4871868351
id_164,33.9533442681
id_165,24.1279027088
id_166,22.9775191017
id_167,1.76060383408
id_168,67.0984148704
id_169,15.6948312651
id_170,16.332228486
id_171,72.1708949814
id_172,21.733951026
id_173,1.61810347113
id_174,22.6917020503
id_175,1.97842347779
id_176,7.02843668723
id_177,17.6573447497
id_178,19.9734962005
id_179,24.2309779872
id_180,42.8456200498
id_181,31.712030004
id_182,27.155483756
id_183,12.2490354666
id_184,6.62202857868
id_185,41.7001682783
id_186,35.4339428979
id_187,35.1431276894
id_188,16.14193987
id_189,22.7699869197
id_190,13.5074462676
id_191,16.0013326074
id_192,31.3325375677
id_193,73.0133381587
id_194,29.7114965817
id_195,11.8276353977
id_196,63.5538839459
id_197,16.2651913122
id_198,19.0291990006
id_199,19.4457456903
id_200,124.378486761
id_201,24.4015435292
id_202,58.3008867116
id_203,6.24867752418
id_204,60.7994252793
id_205,35.0031065834
id_206,14.8763348064
id_207,13.1222270687
id_208,62.4866111939
id_209,15.9248056661
id_210,35.7213494464
id_211,69.2661281023
id_212,18.6614766762
id_213,115.196330298
id_214,41.6078853412
id_215,79.2699703147
id_216,93.3498724984
id_217,71.5204384762
id_218,29.5764360868
id_219,18.3907653146
id_220,30.2898068721
id_221,57.6761474936
id_222,26.8297998522
id_223,37.6124169331
id_224,42.0548149165
id_225,9.18734608187
id_226,3.14910023981
id_227,81.3711654124
id_228,29.5930914242
id_229,1.29965071204
id_230,39.9944388722
id_231,15.5694675345
id_232,21.6565230833
id_233,7.5857325766
id_234,13.3935681173
id_235,23.7976451201
id_236,13.392253344
id_237,2.30197791854
id_238,20.568409908
id_239,10.0188252852
